UserId,month,Reputation,Rank,index,UCreationDate,UAccessDate,ULocation,U.Views,PViewCount,tCount,qCount,aCount,changed
243782,1,2721.0,1.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,3705240.0,314,71,243,no
243782,2,5648.0,2.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,47326865.0,807,456,351,no
243782,3,4286.0,1.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,16171736.0,554,238,316,no
243782,4,4216.0,1.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,19211.0,430,12,418,no
243782,5,4889.0,1.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,167842573.0,852,687,165,no
243782,6,4815.0,2.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,9661432.0,602,221,381,no
243782,7,5587.0,1.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,86218.0,591,31,560,no
243782,8,4794.0,1.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,2402377.0,526,74,452,no
243782,9,565.0,18.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,312232.0,70,27,43,no
243782,11,1100.0,6.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,12638.0,121,10,111,no
243782,12,1283.0,6.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,187649.0,142,25,117,no
243782,15,1156.0,24.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,37404.0,124,13,111,no
243782,16,614.0,39.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,330995.0,73,17,56,yes
243782,17,150.0,160.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,93234.0,22,14,8,yes
243782,18,316.0,84.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,6858.0,43,20,23,yes
243782,23,202.0,90.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,15723.0,28,7,21,yes
243782,30,246.0,117.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,34216.0,33,13,20,yes
243782,31,648.0,36.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,18876.0,69,6,63,yes
243782,34,213.0,119.0,2454,2010-01-05 09:37:40,2018-09-15 20:22:22,"Transylvania, Romania",9662,230.0,23,1,22,yes
244393,9,123.0,70.5,35840,2010-01-06 01:39:11,2018-08-02 04:43:13,"New York, NY",329,3085.0,16,5,11,no
247265,1,2185.0,4.0,13029,2010-01-06 21:25:20,2011-06-05 05:00:53,,1224,4044817.0,434,416,18,no
247265,2,2325.0,6.0,13029,2010-01-06 21:25:20,2011-06-05 05:00:53,,1224,5881873.0,477,474,3,no
246263,1,2118.0,5.0,26879,2010-01-08 09:27:38,2018-09-15 21:53:21,"Deventer, Netherlands",1959,42930.0,219,12,207,no
246263,6,225.0,49.0,26879,2010-01-08 09:27:38,2018-09-15 21:53:21,"Deventer, Netherlands",1959,672570.0,30,15,15,no
246263,20,955.0,21.0,26879,2010-01-08 09:27:38,2018-09-15 21:53:21,"Deventer, Netherlands",1959,2086.0,96,1,95,yes
246263,26,45.0,892.5,26879,2010-01-08 09:27:38,2018-09-15 21:53:21,"Deventer, Netherlands",1959,514.0,11,6,5,yes
246263,34,53.0,417.5,26879,2010-01-08 09:27:38,2018-09-15 21:53:21,"Deventer, Netherlands",1959,6234.0,9,6,3,yes
246263,36,892.0,24.0,26879,2010-01-08 09:27:38,2018-09-15 21:53:21,"Deventer, Netherlands",1959,0.0,94,4,90,yes
241774,2,1295.0,11.0,64,2010-01-01 00:39:26,2015-03-20 00:53:44,"Christchurch, New Zealand",1006,1223.0,136,1,135,no
241774,4,360.0,37.0,64,2010-01-01 00:39:26,2015-03-20 00:53:44,"Christchurch, New Zealand",1006,5684.0,38,4,34,no
245265,1,1976.0,7.0,1916,2010-01-07 04:24:05,2018-09-13 19:37:29,Canada,2171,1009690.0,268,136,132,no
245265,2,530.0,30.0,1916,2010-01-07 04:24:05,2018-09-13 19:37:29,Canada,2171,94480.0,66,26,40,no
245265,4,215.0,56.5,1916,2010-01-07 04:24:05,2018-09-13 19:37:29,Canada,2171,446292.0,33,23,10,no
245265,5,833.0,15.0,1916,2010-01-07 04:24:05,2018-09-13 19:37:29,Canada,2171,27566.0,90,11,79,no
245265,13,120.0,421.5,1916,2010-01-07 04:24:05,2018-09-13 19:37:29,Canada,2171,7392.0,16,8,8,no
245265,14,195.0,151.0,1916,2010-01-07 04:24:05,2018-09-13 19:37:29,Canada,2171,3147.0,21,3,18,no
245265,19,315.0,65.0,1916,2010-01-07 04:24:05,2018-09-13 19:37:29,Canada,2171,2220.0,33,3,30,yes
245265,22,120.0,139.0,1916,2010-01-07 04:24:05,2018-09-13 19:37:29,Canada,2171,4850.0,16,8,8,yes
245265,24,115.0,125.0,1916,2010-01-07 04:24:05,2018-09-13 19:37:29,Canada,2171,73490.0,14,5,9,yes
245265,26,1340.0,20.0,1916,2010-01-07 04:24:05,2018-09-13 19:37:29,Canada,2171,1600867.0,171,74,97,yes
